[2020-03-12 04:46:44]	select * from _jpostads order by postadid desc
[2020-03-12 10:19:01]	select * from _jpostads order by postadid desc
[2020-03-12 10:30:37]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') order by postadid desc
[2020-03-12 10:30:37]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') order by postadid desc' at line 1
[2020-03-12 10:30:37]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc
[2020-03-12 10:30:37]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc' at line 1
[2020-03-12 10:30:40]	select * from _jpostads  order by postadid desc
[2020-03-12 10:33:03]	select * from _jpostads  order by postadid desc
[2020-03-12 10:33:05]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') order by postadid desc
[2020-03-12 10:33:05]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') order by postadid desc' at line 1
[2020-03-12 10:33:05]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc
[2020-03-12 10:33:05]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc' at line 1
[2020-03-12 10:33:08]	select * from _jusertable
[2020-03-12 10:33:09]	select * from _jpostads  order by postadid desc
[2020-03-12 10:33:40]	select * from _jpostads  order by postadid desc
[2020-03-12 10:33:55]	select * from _jpostads  order by postadid desc
[2020-03-12 10:35:10]	select * from _jpostads  order by postadid desc
[2020-03-12 10:35:25]	select * from _jpostads  order by postadid desc
[2020-03-12 10:35:34]	select * from _jpostads  order by postadid desc
[2020-03-12 10:36:03]	select * from _jpostads  order by postadid desc
[2020-03-12 10:36:05]	select * from _jpostads  order by postadid desc
[2020-03-12 10:36:08]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') order by postadid desc
[2020-03-12 10:36:08]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') order by postadid desc' at line 1
[2020-03-12 10:36:08]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc
[2020-03-12 10:36:08]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc' at line 1
[2020-03-12 10:36:11]	select * from _jpostads  order by postadid desc
[2020-03-12 10:36:45]	select * from _jpostads  order by postadid desc
[2020-03-12 10:36:48]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  s.categid=c.categid and p.postadid=2
[2020-03-12 10:36:48]	select * from _jstatenames
[2020-03-12 10:39:26]	select * from _jpostads  order by postadid desc
[2020-03-12 10:39:31]	select * from _jpostads  order by postadid desc
[2020-03-12 10:39:38]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') order by postadid desc
[2020-03-12 10:39:38]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') order by postadid desc' at line 1
[2020-03-12 10:39:38]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc
[2020-03-12 10:39:38]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc' at line 1
[2020-03-12 10:39:40]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') order by postadid desc
[2020-03-12 10:39:40]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'and  where date(postedon)=date('2020-03-12') order by postadid desc' at line 1
[2020-03-12 10:39:40]	select * from _jpostads  and  where date(postedon)=date('2020-03-12') limit 0, 20 order by postadid desc
