[2020-04-28 10:48:41]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-04-28 10:49:19]	select * from _jstatenames
[2020-04-28 10:49:19]	select * from _jcategory
[2020-04-28 11:28:05]	select * from _jstatenames
[2020-04-28 11:28:05]	select * from _jcategory
[2020-04-28 11:28:55]	select * from _jstatenames
[2020-04-28 11:28:55]	select * from _jcategory
[2020-04-28 11:29:01]	select * from _jstatenames
[2020-04-28 11:29:01]	select * from _jcategory
[2020-04-28 11:29:46]	select * from _jstatenames
[2020-04-28 11:29:46]	select * from _jcategory
[2020-04-28 11:30:43]	select * from _jstatenames
[2020-04-28 11:30:43]	select * from _jcategory
[2020-04-28 11:31:55]	select * from _jstatenames
[2020-04-28 11:31:55]	select * from _jcategory
[2020-04-28 11:32:17]	select * from _jstatenames
[2020-04-28 11:32:17]	select * from _jcategory
[2020-04-28 12:03:10]	select * from _jstatenames
[2020-04-28 12:03:10]	select * from _jcategory
[2020-04-28 12:03:36]	insert into `_tbl_featured` (`adid`,`categoryid`,`subcategoryid`,`countryid`,`stateid`,`districtid`,`duration`,`startdate`,`enddate`,`amount`,`createdon`) values ('2917','5','79','1','31','52','10','2020-04-28 12:03:36','2020-04-28 12:03:36','100','2020-04-28 12:03:36')
[2020-04-28 12:03:36]	select * from _jstatenames
[2020-04-28 12:03:36]	select * from _jcategory
[2020-04-28 12:18:48]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-04-28 12:19:00]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-04-28 12:19:03]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-04-28 12:19:43]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-04-28 12:20:07]	select * from _jstatenames
[2020-04-28 12:20:07]	select * from _jcategory
[2020-04-28 12:20:10]	select * from _tbl_featured order by featureadid desc
[2020-04-28 12:23:45]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid
ORDER BY fad.featureadid desc
[2020-04-28 12:24:23]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid
ORDER BY fad.featureadid desc
[2020-04-28 12:24:33]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid
ORDER BY fad.featureadid desc
[2020-04-28 12:24:59]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid
ORDER BY fad.featureadid desc
[2020-04-28 12:33:02]	select * from _jstatenames
[2020-04-28 12:33:02]	select * from _jcategory
[2020-04-28 12:33:22]	select * from _jcategory where categid='5'
[2020-04-28 12:33:22]	select * from _jsubcategory where subcateid='70'
[2020-04-28 12:33:22]	select * from _jstatenames where stateid='31'
[2020-04-28 12:33:22]	select * from _jdistrictnames where distcid='52'
[2020-04-28 12:33:22]	insert into `_tbl_featured` (`adid`,`categoryid`,`categoryname`,`subcategoryid`,`subcategoryname`,`countryid`,`stateid`,`statename`,`districtid`,`districtname`,`duration`,`startdate`,`enddate`,`amount`,`createdon`) values ('2917','5','Jobs','70','Office Assistant','1','31','','52','','10','2020-04-28 12:33:22','2020-04-28 12:33:22','100','2020-04-28 12:33:22')
[2020-04-28 12:33:22]	select * from _jstatenames
[2020-04-28 12:33:22]	select * from _jcategory
[2020-04-28 12:33:27]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid
ORDER BY fad.featureadid desc
[2020-04-28 12:34:17]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid
ORDER BY fad.featureadid desc
[2020-04-28 12:35:39]	select * from _jstatenames
