[2020-06-03 16:08:33]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-06-03 16:08:39]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid=4023
[2020-06-03 16:08:39]	select * from _jstatenames
[2020-06-03 16:08:39]	select * from _jdistrictnames where stateid='31' order by districtname
[2020-06-03 16:08:39]	select * from _jcategory
[2020-06-03 16:08:48]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-06-03 18:43:41]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-06-03 18:44:44]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid=4024
[2020-06-03 18:44:49]	update _jpostads set isdeleted=1,deletedon='2020-06-03 18:44:49' where postadid=4024
[2020-06-03 18:44:49]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid=4024
[2020-06-03 18:44:49]	select * from _jstatenames
[2020-06-03 18:44:49]	select * from _jdistrictnames where stateid='' order by districtname
[2020-06-03 18:44:49]	select * from _jcategory
[2020-06-03 18:45:00]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-06-03 18:45:08]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid=4024
[2020-06-03 18:45:13]	update _jpostads set isdeleted=1,deletedon='2020-06-03 18:45:13' where postadid=
[2020-06-03 18:45:13]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1
[2020-06-03 18:45:13]	SELECT * FROM _jpostads left join _jcategory on  _jpostads.categid=_jcategory.categid  where  _jpostads.isdeleted='0'  order by postadid desc  limit 0,24 
[2020-06-03 18:45:13]	select * from _jstatenames
[2020-06-03 18:45:13]	select * from _jdistrictnames where stateid='31' order by districtname
[2020-06-03 18:45:13]	select * from _jcategory
